City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,17.19,87,100,4.69,SH,1712844374
1,atafu village,-8.5421,-172.5159,29.13,75,84,2.6,TK,1712844374
2,puerto natales,-51.7236,-72.4875,5.25,81,20,0.51,CL,1712844374
3,west island,-12.1568,96.8225,27.99,74,40,4.63,CC,1712844375
4,sirib,7.1333,125.4072,26.01,87,100,0.92,PH,1712844375
5,taos,36.4072,-105.5731,4.56,56,0,0.0,US,1712844375
6,longyearbyen,78.2186,15.6401,-12.09,61,0,3.6,SJ,1712844375
7,adamstown,-25.066,-130.1015,20.65,75,90,8.11,PN,1712844375
8,vilhena,-12.7406,-60.1458,25.12,88,20,1.03,BR,1712844375
9,blackmans bay,-43.0167,147.3167,9.18,84,100,0.45,AU,1712844202
10,nemuro,43.3236,145.575,4.25,95,100,7.03,JP,1712844376
11,port-aux-francais,-49.35,70.2167,6.1,97,98,8.56,TF,1712844376
12,chibougamau,49.9168,-74.3659,7.79,66,0,4.12,CA,1712844149
13,trinity beach,-16.7888,145.6968,21.94,83,10,4.12,AU,1712844376
14,bredasdorp,-34.5322,20.0403,18.06,52,0,7.39,ZA,1712844281
15,bethel,41.3712,-73.414,12.33,89,100,3.6,US,1712844376
16,ust-nera,64.5667,143.2,-11.84,92,79,3.24,RU,1712844377
17,ushuaia,-54.8,-68.3,7.81,61,0,6.69,AR,1712844319
18,arraial do cabo,-22.9661,-42.0278,27.98,74,40,4.12,BR,1712844225
19,stanley,54.868,-1.6985,15.01,75,40,4.12,GB,1712844377
20,west fargo,46.875,-96.9004,8.0,68,20,8.75,US,1712844377
21,ilulissat,69.2167,-51.1,-4.99,63,100,2.06,GL,1712844377
22,alofi,-19.0595,-169.9187,21.94,94,20,0.51,NU,1712844251
23,luganville,-15.5333,167.1667,25.12,85,12,1.14,VU,1712844378
24,tiksi,71.6872,128.8694,-26.33,93,37,8.78,RU,1712844378
25,port elizabeth,-33.918,25.5701,20.05,68,20,8.75,ZA,1712844202
26,hanzhong,33.0728,107.0303,17.52,72,6,1.19,CN,1712844378
27,cidreira,-30.1811,-50.2056,20.52,89,100,8.23,BR,1712844378
28,yellowknife,62.456,-114.3525,-3.1,92,40,6.17,CA,1712844378
29,lompoc,34.6391,-120.4579,12.55,97,0,2.06,US,1712844378
30,dunedin,-45.8742,170.5036,8.78,99,100,3.58,NZ,1712844379
31,cabo san lucas,22.8909,-109.9124,19.73,63,20,2.06,MX,1712844299
32,williston,48.147,-103.618,2.8,67,1,0.89,US,1712844379
33,howard springs,-12.497,131.047,26.95,85,9,2.47,AU,1712844379
34,malango,-2.9627,119.9001,20.58,100,100,0.26,ID,1712844379
35,crane,31.3974,-102.3501,15.78,35,0,2.15,US,1712844379
36,margaret river,-33.95,115.0667,15.35,62,0,5.43,AU,1712844091
37,iskateley,67.6803,53.1512,-1.66,96,100,12.07,RU,1712844380
38,ketchikan,55.3422,-131.6461,3.99,93,100,2.06,US,1712844380
39,sur,22.5667,59.5289,31.9,44,65,3.17,OM,1712844380
40,zabaykal'sk,49.6333,117.3167,10.98,67,100,2.13,RU,1712844380
41,carnarvon,-24.8667,113.6333,22.71,60,100,11.99,AU,1712844380
42,sambava,-14.2667,50.1667,28.37,78,59,2.61,MG,1712844381
43,valentin gomez farias,28.2167,-106.5833,12.76,22,1,0.94,MX,1712844381
44,iqaluit,63.7506,-68.5145,-3.15,79,100,2.57,CA,1712844381
45,bilibino,68.0546,166.4372,-23.09,100,92,0.78,RU,1712844381
46,thompson,55.7435,-97.8558,1.09,80,75,5.14,CA,1712844381
47,vega de alatorre,20.0333,-96.6333,24.25,43,94,0.59,MX,1712844381
48,kailua-kona,19.6406,-155.9956,23.98,87,0,1.54,US,1712844255
49,devils lake,48.1128,-98.8651,3.99,79,0,8.23,US,1712844370
50,kone,-21.0595,164.8658,22.69,93,97,0.78,NC,1712844382
51,wailua homesteads,22.0669,-159.378,23.24,89,40,2.06,US,1712844382
52,waitangi,-43.9535,-176.5597,16.01,94,17,4.47,NZ,1712844382
53,hamilton,39.1834,-84.5333,16.36,96,100,3.6,US,1712844355
54,tralee,52.2704,-9.7026,14.14,88,40,6.17,IE,1712844186
55,kendari,-3.945,122.4989,24.76,95,100,0.75,ID,1712844382
56,villa gesell,-37.2639,-56.973,13.92,57,100,5.09,AR,1712844306
57,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,71,0,11.62,RU,1712844383
58,grytviken,-54.2811,-36.5092,2.07,95,75,5.33,GS,1712844383
59,gunjur,13.2019,-16.7339,35.04,36,8,4.12,GM,1712844383
60,ribeira grande,38.5167,-28.7,16.22,100,75,7.2,PT,1712844383
61,kavieng,-2.5744,150.7967,26.53,84,100,2.03,PG,1712844383
62,touros,-5.1989,-35.4608,30.29,67,57,3.1,BR,1712844383
63,enewetak,11.3474,162.3373,27.04,78,87,10.05,MH,1712844384
64,polyarnyy,69.1989,33.4478,1.47,99,100,8.02,RU,1712844322
65,albany,42.6001,-73.9662,11.28,83,100,0.89,US,1712844378
66,haiku-pauwela,20.9219,-156.3051,21.25,81,40,1.54,US,1712844384
67,zouerate,22.7187,-12.4521,38.58,5,0,3.61,MR,1712844384
68,ngou,5.1959,10.3844,25.83,58,86,1.75,CM,1712844384
69,lodwar,3.1191,35.5973,35.62,32,8,4.52,KE,1712844385
70,whistler,50.1164,-122.9695,3.09,93,100,0.0,CA,1712844228
71,olonkinbyen,70.9221,-8.7187,-8.46,68,100,3.97,SJ,1712844385
72,east london,-33.0153,27.9116,20.52,49,0,9.26,ZA,1712844369
73,praia da vitoria,38.7333,-27.0667,19.14,94,75,4.97,PT,1712844385
74,usinsk,65.9939,57.5281,-0.52,98,100,13.86,RU,1712844386
75,newman,37.3138,-121.0208,12.81,90,76,1.79,US,1712844386
76,armacao de buzios,-22.7469,-41.8817,30.03,81,18,3.63,BR,1712844295
77,mutoko,-17.397,32.2268,17.19,93,100,2.6,ZW,1712844386
78,mongo,12.1844,18.693,41.72,6,22,3.47,TD,1712844386
79,port douglas,-16.4833,145.4667,23.14,75,11,3.47,AU,1712844386
80,san antonio de pale,-1.4014,5.6325,26.37,81,100,8.06,GQ,1712844120
81,krasnobrodskiy,54.1581,86.4486,0.53,94,100,4.12,RU,1712844387
82,khamis mushait,18.3064,42.7292,23.34,53,20,6.17,SA,1712844387
83,cabedelo,-6.9811,-34.8339,31.37,74,100,3.07,BR,1712844387
84,jamestown,42.097,-79.2353,16.12,97,100,3.6,US,1712844132
85,buulobarde,3.8538,45.5674,37.53,29,98,3.85,SO,1712844387
86,nogliki,51.8333,143.1667,-0.37,86,30,2.24,RU,1712844388
87,constantia,44.1833,28.65,24.38,62,0,2.65,RO,1712844247
88,taltal,-25.4,-70.4833,20.22,70,39,2.78,CL,1712844388
89,tweed heads,-28.1817,153.547,20.02,79,30,3.09,AU,1712844388
90,kayangel,8.0823,134.7173,28.01,76,13,6.07,PW,1712844388
91,new norfolk,-42.7826,147.0587,9.84,84,100,1.16,AU,1712844388
92,villanueva del trabuco,37.0479,-4.3221,17.0,41,35,4.03,ES,1712844389
93,labytnangi,66.6572,66.4183,-9.79,86,100,6.31,RU,1712844389
94,berezovyy,51.6667,135.7,2.58,65,0,2.29,RU,1712844389
95,jambi city,-1.6,103.6167,24.48,93,100,1.28,ID,1712844389
96,ancud,-41.8697,-73.8203,10.72,70,0,3.3,CL,1712844279
97,sitka,57.0531,-135.33,0.94,80,20,1.54,US,1712844389
98,ben gardane,33.1378,11.2197,17.05,61,84,6.59,TN,1712844389
99,port mathurin,-19.6833,63.4167,27.06,76,25,3.14,MU,1712844390
100,slave lake,55.2834,-114.769,-2.01,64,0,2.57,CA,1712844390
101,papatowai,-46.5619,169.4708,7.54,91,100,3.75,NZ,1712844390
102,chonchi,-42.6128,-73.8092,12.84,64,0,0.78,CL,1712844390
103,geraldton,-28.7667,114.6,23.23,43,100,0.51,AU,1712844390
104,talnakh,69.4865,88.3972,-26.42,98,79,0.69,RU,1712844391
105,palikir - national government center,6.9248,158.1611,26.41,89,100,2.06,FM,1712844391
106,qinhuangdao,39.9317,119.5883,11.58,80,1,1.94,CN,1712844391
107,cova figueira,14.8905,-24.2934,18.24,68,2,4.6,CV,1712844391
108,rongelap,11.1635,166.8941,26.75,78,100,9.43,MH,1712844391
109,college,64.8569,-147.8028,-1.0,73,75,3.09,US,1712844391
110,kavaratti,10.5669,72.642,29.5,69,1,3.61,IN,1712844391
111,weno,7.4515,151.8468,26.97,89,100,3.09,FM,1712844391
112,lubango,-14.9172,13.4925,26.92,47,75,3.09,AO,1712844392
113,uturoa,-16.7333,-151.4333,28.55,79,44,8.02,PF,1712844392
114,mlalo,-4.9333,38.9333,30.7,61,61,4.55,TZ,1712844392
115,udachny,66.4167,112.4,-28.08,100,96,2.33,RU,1712844196
